path,nchains,bb_min,clash,asep,asep_mode,pass_bb,pass_clash,pass_as,ok
rfd_c2_design/1bsm_mnfe/1bsm_mnfe_symm/design_1bsm_mnfe_fix_0.pdb,2,0.23237039398339843,146,8.649966379550092,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1bsm_mnfe/1bsm_mnfe_symm/design_1bsm_mnfe_fix_1.pdb,2,0.3021009764962698,150,8.69161551879342,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1bsm_mnfe/1bsm_mnfe_symm/design_1bsm_mnfe_fix_2.pdb,2,0.2695366394388717,150,8.672941981372002,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1bsm_mnfe/1bsm_mnfe_symm/design_1bsm_mnfe_fix_3.pdb,2,0.2667751862523946,144,8.686905242598053,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1bsm_mnfe/1bsm_mnfe_symm/design_1bsm_mnfe_fix_4.pdb,2,0.28084159236124556,144,8.654027511122512,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1ix9_mn/1ix9_mn_symm/design_1ix9_mn_fix_0.pdb,2,0.4162355102583152,46,8.272937311203444,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1ix9_mn/1ix9_mn_symm/design_1ix9_mn_fix_1.pdb,2,0.4966769573877975,38,8.243500207646589,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1ix9_mn/1ix9_mn_symm/design_1ix9_mn_fix_2.pdb,2,0.428,46,8.265592616753045,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1ix9_mn/1ix9_mn_symm/design_1ix9_mn_fix_3.pdb,2,0.4380730532685159,38,8.24286033671639,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1ix9_mn/1ix9_mn_symm/design_1ix9_mn_fix_4.pdb,2,0.4380410939626555,42,8.246209043665868,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1jr9_mn/1jr9_mn_symm/design_1jr9_mn_fix_0.pdb,2,0.8394647103958572,46,6.764650439047092,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1jr9_mn/1jr9_mn_symm/design_1jr9_mn_fix_1.pdb,2,0.853629896383673,48,6.771335660340581,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1jr9_mn/1jr9_mn_symm/design_1jr9_mn_fix_2.pdb,2,0.8459042499006613,46,6.868868051760786,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1jr9_mn/1jr9_mn_symm/design_1jr9_mn_fix_3.pdb,2,0.8960368296002122,46,6.769986752202696,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1jr9_mn/1jr9_mn_symm/design_1jr9_mn_fix_4.pdb,2,0.8486306617133275,46,6.866577431661279,HIS-CA(proxy),False,False,False,False
rfd_c2_design/1oal_cuzn/1oal_cuzn_symm/design_1oal_cuzn_fix_0.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1oal_cuzn/1oal_cuzn_symm/design_1oal_cuzn_fix_1.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1oal_cuzn/1oal_cuzn_symm/design_1oal_cuzn_fix_2.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1oal_cuzn/1oal_cuzn_symm/design_1oal_cuzn_fix_3.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1oal_cuzn/1oal_cuzn_symm/design_1oal_cuzn_fix_4.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1pzs_cuzn/1pzs_cuzn_symm/design_1pzs_cuzn_fix_0.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1pzs_cuzn/1pzs_cuzn_symm/design_1pzs_cuzn_fix_1.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1pzs_cuzn/1pzs_cuzn_symm/design_1pzs_cuzn_fix_2.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1pzs_cuzn/1pzs_cuzn_symm/design_1pzs_cuzn_fix_3.pdb,1,inf,0,nan,n/a,True,True,False,False
rfd_c2_design/1pzs_cuzn/1pzs_cuzn_symm/design_1pzs_cuzn_fix_4.pdb,1,inf,0,nan,n/a,True,True,False,False
